순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
113,행정안전부_문화_음반및음악영상물배급업 조회서비스,문화_음반및음악영상물배급업 데이터 이력조회,http://apis.data.go.kr/1741000/music_video_distributors/history,
114,행정안전부_문화_음반및음악영상물제작업 조회서비스,문화_음반및음악영상물제작업 데이터 이력조회,http://apis.data.go.kr/1741000/music_video_producers/history,
115,행정안전부_문화_음반물배급업 조회서비스,문화_음반물배급업 데이터 이력조회,http://apis.data.go.kr/1741000/record_distributors/history,
116,행정안전부_문화_음반물제작업 조회서비스,문화_음반물제작업 데이터 이력조회,http://apis.data.go.kr/1741000/record_producers/history,
117,행정안전부_생활_미용업 조회서비스,생활_미용업 데이터 이력조회,http://apis.data.go.kr/1741000/beauty_salons/history,
118,행정안전부_생활_이용업 조회서비스,생활_이용업 데이터 이력조회,http://apis.data.go.kr/1741000/barber_shops/history,
119,행정안전부_생활_세탁업 조회서비스,생활_세탁업 데이터 이력조회,http://apis.data.go.kr/1741000/laundries/history,
120,행정안전부_생활_의료기관세탁물처리업 조회서비스,생활_의료기관세탁물처리업 데이터 이력조회,http://apis.data.go.kr/1741000/medical_laundry/history,
121,행정안전부_생활_다단계판매업체 조회서비스,생활_다단계판매업체 데이터 이력조회,http://apis.data.go.kr/1741000/multilevel_marketing/history,
122,행정안전부_생활_대규모점포 조회서비스,생활_대규모점포 데이터 이력조회,http://apis.data.go.kr/1741000/large_scale_retail_stores/history,
123,행정안전부_생활_방문판매업 조회서비스,생활_방문판매업 데이터 이력조회,http://apis.data.go.kr/1741000/door_to_door_sales/history,
124,행정안전부_생활_전화권유판매업 조회서비스,생활_전화권유판매업 데이터 이력조회,http://apis.data.go.kr/1741000/telemarketing_sales/history,
125,행정안전부_생활_통신판매업 조회서비스,생활_통신판매업 데이터 이력조회,http://apis.data.go.kr/1741000/ecommerce_businesses/history,
126,행정안전부_생활_후원방문판매업체 조회서비스,생활_후원방문판매업체 데이터 이력조회,http://apis.data.go.kr/1741000/sponsored_door_to_door_sales/history,
127,행정안전부_생활_골프연습장업 조회서비스,생활_골프연습장업 데이터 이력조회,http://apis.data.go.kr/1741000/golf_practice_ranges/history,
128,행정안전부_생활_골프장 조회서비스,생활_골프장 데이터 이력조회,http://apis.data.go.kr/1741000/golf_courses/history,
129,행정안전부_생활_당구장업 조회서비스,생활_당구장업 데이터 이력조회,http://apis.data.go.kr/1741000/billiard_halls/history,
130,행정안전부_생활_등록체육시설업 조회서비스,생활_등록체육시설업 데이터 이력조회,http://apis.data.go.kr/1741000/registered_sports_facilities/history,
131,행정안전부_생활_무도장업 조회서비스,생활_무도장업 데이터 이력조회,http://apis.data.go.kr/1741000/dance_halls/history,
132,행정안전부_생활_무도학원업 조회서비스,생활_무도학원업 데이터 이력조회,http://apis.data.go.kr/1741000/dance_academies/history,
133,행정안전부_생활_빙상장업 조회서비스,생활_빙상장업 데이터 이력조회,http://apis.data.go.kr/1741000/ice_rinks/history,
134,행정안전부_생활_수영장업 조회서비스,생활_수영장업 데이터 이력조회,http://apis.data.go.kr/1741000/swimming_pools/history,
135,행정안전부_생활_스키장 조회서비스,생활_스키장 데이터 이력조회,http://apis.data.go.kr/1741000/ski_resorts/history,
136,행정안전부_생활_승마장업 조회서비스,생활_승마장업 데이터 이력조회,http://apis.data.go.kr/1741000/horse_riding/history,
137,행정안전부_생활_썰매장업 조회서비스,생활_썰매장업 데이터 이력조회,http://apis.data.go.kr/1741000/sledding/history,
138,행정안전부_생활_요트장업 조회서비스,생활_요트장업 데이터 이력조회,http://apis.data.go.kr/1741000/yacht_marinas/history,
139,행정안전부_생활_종합체육시설업 조회서비스,생활_종합체육시설업 데이터 이력조회,http://apis.data.go.kr/1741000/comprehensive_sports_facilities/history,
140,행정안전부_생활_체력단련장업 조회서비스,생활_체력단련장업 데이터 이력조회,http://apis.data.go.kr/1741000/fitness_centers/history,
141,행정안전부_생활_체육도장업 조회서비스,생활_체육도장업 데이터 이력조회,http://apis.data.go.kr/1741000/martial_arts_dojo/history,
142,행정안전부_생활_목욕장업 조회서비스,생활_목욕장업 데이터 이력조회,http://apis.data.go.kr/1741000/public_baths/history,
143,행정안전부_자원환경_목재수입유통업 조회서비스,자원환경_목재수입유통업 데이터 이력조회,http://apis.data.go.kr/1741000/lumber_import_distribution/history,
144,행정안전부_자원환경_원목생산업 조회서비스,자원환경_원목생산업 데이터 이력조회,http://apis.data.go.kr/1741000/log_production/history,
145,행정안전부_자원환경_제재업 조회서비스,자원환경_제재업 데이터 이력조회,http://apis.data.go.kr/1741000/sawmills/history,
146,행정안전부_자원환경_계량기수리업 조회서비스,자원환경_계량기수리업 데이터 이력조회,http://apis.data.go.kr/1741000/weighing_instrument_repair/history,
147,행정안전부_자원환경_계량기수입업 조회서비스,자원환경_계량기수입업 데이터 이력조회,http://apis.data.go.kr/1741000/weighing_instrument_import/history,
148,행정안전부_자원환경_계량기제조업 조회서비스,자원환경_계량기제조업 데이터 이력조회,http://apis.data.go.kr/1741000/weighing_instrument_manufacturing/history,
149,행정안전부_자원환경_계량기증명업 조회서비스,자원환경_계량기증명업 데이터 이력조회,http://apis.data.go.kr/1741000/weighing_instrument_certification/history,
150,행정안전부_자원환경_고압가스업 조회서비스,자원환경_고압가스업 데이터 이력조회,http://apis.data.go.kr/1741000/high_pressure_gas/history,
151,행정안전부_자원환경_석연탄제조업 조회서비스,자원환경_석연탄제조업 데이터 이력조회,http://apis.data.go.kr/1741000/briquette_manufacturers/history,
152,행정안전부_자원환경_석유및석유대체연료판매업체 조회서비스,자원환경_석유및석유대체연료판매업체 데이터 이력조회,http://apis.data.go.kr/1741000/petroleum_alt_fuel_retailers/history,
153,행정안전부_자원환경_석유판매업 조회서비스,자원환경_석유판매업 데이터 이력조회,http://apis.data.go.kr/1741000/oil_retailers/history,
154,행정안전부_자원환경_액화석유가스용품제조업체 조회서비스,자원환경_액화석유가스용품제조업체 데이터 이력조회,http://apis.data.go.kr/1741000/lpg_equipment_manufacturers/history,
155,행정안전부_자원환경_일반도시가스업체 조회서비스,자원환경_일반도시가스업체 데이터 이력조회,http://apis.data.go.kr/1741000/city_gas_companies/history,
156,행정안전부_자원환경_전력기술감리업체 조회서비스,자원환경_전력기술감리업체 데이터 이력조회,http://apis.data.go.kr/1741000/power_supervision_companies/history,
157,행정안전부_자원환경_전력기술설계업체 조회서비스,자원환경_전력기술설계업체 데이터 이력조회,http://apis.data.go.kr/1741000/power_design_companies/history,
158,행정안전부_자원환경_특정고압가스업 조회서비스,자원환경_특정고압가스업 데이터 이력조회,http://apis.data.go.kr/1741000/specific_high_pressure_gas/history,
159,행정안전부_자원환경_지하수시공업체 조회서비스,자원환경_지하수시공업체 데이터 이력조회,http://apis.data.go.kr/1741000/groundwater_construction/history,
160,행정안전부_자원환경_지하수영향조사기관 조회서비스,자원환경_지하수영향조사기관 데이터 이력조회,http://apis.data.go.kr/1741000/groundwater_impact_assessment/history,
