순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
24,행정안전부_동물_동물전시업 조회서비스,동물_동물전시업 데이터 이력조회,http://apis.data.go.kr/1741000/animal_exhibition/history,
25,행정안전부_동물_동물판매업 조회서비스,동물_동물판매업 데이터 이력조회,http://apis.data.go.kr/1741000/animal_sales/history,
26,행정안전부_동물_가축사육업 조회서비스,동물_가축사육업 데이터 이력조회,http://apis.data.go.kr/1741000/livestock_farming_v2/history_v2,변경(2026.07.27.)
27,행정안전부_동물_가축인공수정소 조회서비스,동물_가축인공수정소 데이터 이력조회,http://apis.data.go.kr/1741000/artificial_insemination_centers/history,
28,행정안전부_동물_도축업 조회서비스,동물_도축업 데이터 이력조회,http://apis.data.go.kr/1741000/slaughterhouses/history,
29,행정안전부_동물_부화업 조회서비스,동물_부화업 데이터 이력조회,http://apis.data.go.kr/1741000/hatcheries_v2/history_v2,변경(2026.07.27.)
30,행정안전부_동물_사료제조업 조회서비스,동물_사료제조업 데이터 이력조회,http://apis.data.go.kr/1741000/feed_manufacturers/history,
31,행정안전부_동물_종축업 조회서비스,동물_종축업 데이터 이력조회,http://apis.data.go.kr/1741000/breeding_stock_businesses_v2/history_v2,변경(2026.07.27.)
32,행정안전부_식품_위탁급식영업 조회서비스,식품_위탁급식영업 데이터 이력조회,http://apis.data.go.kr/1741000/contract_catering/history,
33,행정안전부_식품_집단급식소 조회서비스,식품_집단급식소 데이터 이력조회,http://apis.data.go.kr/1741000/group_meal_facilities/history,
34,행정안전부_식품_건강기능식품유통전문판매업 조회서비스,식품_건강기능식품유통전문판매업 데이터 이력조회,http://apis.data.go.kr/1741000/health_functional_food_specialty_retailers/history,
35,행정안전부_식품_건강기능식품일반판매업 조회서비스,식품_건강기능식품일반판매업 데이터 이력조회,http://apis.data.go.kr/1741000/health_functional_food_general_retailers/history,
36,행정안전부_식품_식용얼음판매업 조회서비스,식품_식용얼음판매업 데이터 이력조회,http://apis.data.go.kr/1741000/edible_ice_retailers/history,
37,행정안전부_식품_식육포장처리업 조회서비스,식품_식육포장처리업 데이터 이력조회,http://apis.data.go.kr/1741000/meat_packers/history,
38,행정안전부_식품_식품냉동냉장업 조회서비스,식품_식품냉동냉장업 데이터 이력조회,http://apis.data.go.kr/1741000/food_freezing_refrigeration/history,
39,행정안전부_식품_식품소분업 조회서비스,식품_식품소분업 데이터 이력조회,http://apis.data.go.kr/1741000/food_repackagers/history,
40,행정안전부_식품_식품운반업 조회서비스,식품_식품운반업 데이터 이력조회,http://apis.data.go.kr/1741000/food_transporters/history,
41,행정안전부_식품_식품자동판매기업 조회서비스,식품_식품자동판매기업 데이터 이력조회,http://apis.data.go.kr/1741000/food_vending_machines/history,
42,행정안전부_식품_식품제조가공업 조회서비스,식품_식품제조가공업 데이터 이력조회,http://apis.data.go.kr/1741000/food_manufacturing_processors/history,
43,행정안전부_식품_식품첨가물제조업 조회서비스,식품_식품첨가물제조업 데이터 이력조회,http://apis.data.go.kr/1741000/food_additive_manufacturers/history,
44,행정안전부_식품_식품판매업(기타) 조회서비스,식품_식품판매업(기타) 데이터 이력조회,http://apis.data.go.kr/1741000/other_food_retailers/history,
45,행정안전부_식품_옹기류제조업 조회서비스,식품_옹기류제조업 데이터 이력조회,http://apis.data.go.kr/1741000/onggi_manufacturers/history,
46,행정안전부_식품_용기및포장지제조업 조회서비스,식품_용기및포장지제조업 데이터 이력조회,http://apis.data.go.kr/1741000/container_packaging_manufacturers/history,
47,행정안전부_식품_용기냉동기특정설비 조회서비스,식품_용기냉동기특정설비 데이터 이력조회,http://apis.data.go.kr/1741000/container_refrigeration_equipment/history,
48,행정안전부_식품_유통전문판매업 조회서비스,식품_유통전문판매업 데이터 이력조회,http://apis.data.go.kr/1741000/distribution_specialty_retailers/history,
49,행정안전부_식품_제과점영업 조회서비스,식품_제과점영업 데이터 이력조회,http://apis.data.go.kr/1741000/bakeries/history,
50,행정안전부_식품_즉석판매제조가공업 조회서비스,식품_즉석판매제조가공업 데이터 이력조회,http://apis.data.go.kr/1741000/instant_food_processors/history,
51,행정안전부_식품_집단급식소식품판매업,식품_집단급식소식품판매업 데이터 이력조회,http://apis.data.go.kr/1741000/group_meal_food_retailers/history,
52,행정안전부_식품_집유업 조회서비스,식품_집유업 데이터 이력조회,http://apis.data.go.kr/1741000/milk_collection/history,
53,행정안전부_식품_축산가공업 조회서비스,식품_축산가공업 데이터 이력조회,http://apis.data.go.kr/1741000/livestock_processing/history,
54,행정안전부_식품_축산물보관업 조회서비스,식품_축산물보관업 데이터 이력조회,http://apis.data.go.kr/1741000/livestock_storage/history,
55,행정안전부_식품_축산물운반업 조회서비스,식품_축산물운반업 데이터 이력조회,http://apis.data.go.kr/1741000/livestock_transport/history,
56,행정안전부_식품_축산판매업 조회서비스,식품_축산판매업 데이터 이력조회,http://apis.data.go.kr/1741000/livestock_retail/history,
57,행정안전부_식품_단란주점영업 조회서비스,식품_단란주점영업 데이터 이력조회,http://apis.data.go.kr/1741000/singing_bars/history,
58,행정안전부_식품_유흥주점영업 조회서비스,식품_유흥주점영업 데이터 이력조회,http://apis.data.go.kr/1741000/entertainment_bars/history,
59,행정안전부_식품_관광식당 조회서비스,식품_관광식당 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_restaurants/history,
60,행정안전부_식품_관광유흥음식점업 조회서비스,식품_관광유흥음식점업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_entertainment_restaurants/history,
61,행정안전부_식품_외국인전용유흥음식점업 조회서비스,식품_외국인전용유흥음식점업 데이터 이력조회,http://apis.data.go.kr/1741000/foreigners_entertainment_restaurants/history,
62,행정안전부_식품_일반음식점 조회서비스,식품_일반음식점 데이터 이력조회,http://apis.data.go.kr/1741000/general_restaurants/history,
63,행정안전부_식품_휴게음식점 조회서비스,식품_휴게음식점 데이터 이력조회,http://apis.data.go.kr/1741000/rest_cafes/history,
64,행정안전부_문화_게임물배급업 조회서비스,문화_게임물배급업 데이터 이력조회,http://apis.data.go.kr/1741000/game_distributors/history,
65,행정안전부_문화_게임물제작업 조회서비스,문화_게임물제작업 데이터 이력조회,http://apis.data.go.kr/1741000/game_producers/history,
66,행정안전부_문화_복합영상물제공업 조회서비스,문화_복합영상물제공업 데이터 이력조회,http://apis.data.go.kr/1741000/mixed_video_content_providers/history,
67,행정안전부_문화_복합유통게임제공업 조회서비스,문화_복합유통게임제공업 데이터 이력조회,http://apis.data.go.kr/1741000/mixed_game_providers/history,
68,행정안전부_문화_인터넷컴퓨터게임시설제공업 조회서비스,문화_인터넷컴퓨터게임시설제공업 데이터 이력조회,http://apis.data.go.kr/1741000/pc_bangs/history,
69,행정안전부_문화_일반게임제공업 조회서비스,문화_일반게임제공업 데이터 이력조회,http://apis.data.go.kr/1741000/general_game_providers/history,
70,행정안전부_문화_청소년게임제공업 조회서비스,문화_청소년게임제공업 데이터 이력조회,http://apis.data.go.kr/1741000/youth_game_providers/history,
71,행정안전부_문화_공연장 조회서비스,문화_공연장 데이터 이력조회,http://apis.data.go.kr/1741000/performance_halls/history,
72,행정안전부_문화_관광공연장업 조회서비스,문화_관광공연장업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_performance_halls/history,
73,행정안전부_문화_관광극장유흥업 조회서비스,문화_관광극장유흥업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_theater_entertainment/history,
