순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
18,행정안전부_동물_동물약국 조회서비스,동물_동물약국 데이터 조회,http://apis.data.go.kr/1741000/animal_pharmacies/info,
19,행정안전부_동물_동물용의료용구판매업 조회서비스,동물_동물용의료용구판매업 데이터 조회,http://apis.data.go.kr/1741000/veterinary_medical_equipment_sales/info,
20,행정안전부_동물_동물용의약품도매상 조회서비스,동물_동물용의약품도매상 데이터 조회,http://apis.data.go.kr/1741000/veterinary_drug_wholesalers/info,
21,행정안전부_동물_동물운송업 조회서비스,동물_동물운송업 데이터 조회,http://apis.data.go.kr/1741000/animal_transport/info,
22,행정안전부_동물_동물위탁관리업 조회서비스,동물_동물위탁관리업 데이터 조회,http://apis.data.go.kr/1741000/animal_boarding/info,
23,행정안전부_동물_동물장묘업 조회서비스,동물_동물장묘업 데이터 조회,http://apis.data.go.kr/1741000/animal_cremation/info,
24,행정안전부_동물_동물전시업 조회서비스,동물_동물전시업 데이터 조회,http://apis.data.go.kr/1741000/animal_exhibition/info,
25,행정안전부_동물_동물판매업 조회서비스,동물_동물판매업 데이터 조회,http://apis.data.go.kr/1741000/animal_sales/info,
26,행정안전부_동물_가축사육업 조회서비스,동물_가축사육업 데이터 조회,http://apis.data.go.kr/1741000/livestock_farming_v2/info_v2,변경(2026.07.27.)
27,행정안전부_동물_가축인공수정소 조회서비스,동물_가축인공수정소 데이터 조회,http://apis.data.go.kr/1741000/artificial_insemination_centers/info,
28,행정안전부_동물_도축업 조회서비스,동물_도축업 데이터 조회,http://apis.data.go.kr/1741000/slaughterhouses/info,
29,행정안전부_동물_부화업 조회서비스,동물_부화업 데이터 조회,http://apis.data.go.kr/1741000/hatcheries_v2/info_v2,변경(2026.07.27.)
30,행정안전부_동물_사료제조업 조회서비스,동물_사료제조업 데이터 조회,http://apis.data.go.kr/1741000/feed_manufacturers/info,
31,행정안전부_동물_종축업 조회서비스,동물_종축업 데이터 조회,http://apis.data.go.kr/1741000/breeding_stock_businesses_v2/info_v2,변경(2026.07.27.)
32,행정안전부_식품_위탁급식영업 조회서비스,식품_위탁급식영업 데이터 조회,http://apis.data.go.kr/1741000/contract_catering/info,
33,행정안전부_식품_집단급식소 조회서비스,식품_집단급식소 데이터 조회,http://apis.data.go.kr/1741000/group_meal_facilities/info,
34,행정안전부_식품_건강기능식품유통전문판매업 조회서비스,식품_건강기능식품유통전문판매업 데이터 조회,http://apis.data.go.kr/1741000/health_functional_food_specialty_retailers/info,
35,행정안전부_식품_건강기능식품일반판매업 조회서비스,식품_건강기능식품일반판매업 데이터 조회,http://apis.data.go.kr/1741000/health_functional_food_general_retailers/info,
